,link,ingredients
1358,/recipedb/search_ingre/13_beef bouillon cube_337,beef bouillon cube
1359,/recipedb/search_ingre/13_white bean_502,white bean
1366,/recipedb/search_ingre/13_romaine lettuce_329,romaine lettuce
1371,/recipedb/search_ingre/13_chicken gizzard_2913,chicken gizzard
1372,/recipedb/search_ingre/13_chicken liver_779,chicken liver
1387,/recipedb/search_ingre/13_lemon pepper seasoning_1095,lemon pepper seasoning
1398,/recipedb/search_ingre/13_cardamom_164,cardamom
1411,/recipedb/search_ingre/13_sunflower oil_412,sunflower oil
1412,/recipedb/search_ingre/13_pistachio_365,pistachio
1422,/recipedb/search_ingre/13_wild rice_604,wild rice
1429,/recipedb/search_ingre/13_broth_495,broth
1437,/recipedb/search_ingre/13_chili green_5182,chili green
1444,/recipedb/search_ingre/13_spice_416,spice
1445,/recipedb/search_ingre/13_red potato_263,red potato
1464,/recipedb/search_ingre/13_extra beef_545,extra beef
1473,/recipedb/search_ingre/13_large mushroom_2589,large mushroom
1481,/recipedb/search_ingre/13_clam_481,clam
1491,/recipedb/search_ingre/13_white onion_137,white onion
1501,/recipedb/search_ingre/13_watermelon_643,watermelon
1508,/recipedb/search_ingre/13_vegetable stock_236,vegetable stock
1548,/recipedb/search_ingre/13_hot chili pepper_776,hot chili pepper
1583,/recipedb/search_ingre/13_channa dal_995,channa dal
1584,/recipedb/search_ingre/13_toor dal yellow pigeon pea_18762,toor dal yellow pigeon pea
1585,/recipedb/search_ingre/13_new potato_436,new potato
1590,/recipedb/search_ingre/13_garam masala_153,garam masala
1594,/recipedb/search_ingre/13_stewing lamb_2310,stewing lamb
1609,/recipedb/search_ingre/13_pam cooking spray_1001,pam cooking spray
1634,/recipedb/search_ingre/13_crab_1160,crab
1635,/recipedb/search_ingre/13_shrimp_89,shrimp
1637,/recipedb/search_ingre/13_oyster sea_15721,oyster sea
1647,/recipedb/search_ingre/13_whipping cream_152,whipping cream
1652,/recipedb/search_ingre/13_macadamia nut almond_7142,macadamia nut almond
1655,/recipedb/search_ingre/13_puff pastry_301,puff pastry
1659,/recipedb/search_ingre/13_coconut flake_1037,coconut flake
1682,/recipedb/search_ingre/13_molohia leaf_15011,molohia leaf
1683,/recipedb/search_ingre/13_chicken meat_828,chicken meat
1687,/recipedb/search_ingre/13_cold water_179,cold water
1692,/recipedb/search_ingre/13_malt vinegar_729,malt vinegar
